Fecha,Compra_of,Venta_of
22/01/2024,"808,08","868,8"
19/01/2024,"808,08","868,8"
18/01/2024,"807,2","866,51"
17/01/2024,"806,96","866,2"
16/01/2024,"805,38","864,65"
15/01/2024,"804,36","863,62"
12/1/2024,"801,38","860,65"
11/1/2024,"801,22","860,49"
10/1/2024,"800,01","859,28"
9/1/2024,"799,73",859
8/1/2024,"798,35","857,62"
5/1/2024,"795,08","852,99"
4/1/2024,"794,55","853,15"
3/1/2024,"793,99","852,69"
2/1/2024,"793,03","851,14"
29/12/2023,"790,44","847,11"
28/12/2023,"788,59","844,66"
27/12/2023,"787,55","843,51"
26/12/2023,"787,24","843,55"
22/12/2023,"785,63","843,78"
21/12/2023,"786,4","842,68"
20/12/2023,"785,18","841,46"
19/12/2023,785,"841,28"
18/12/2023,"784,84","840,23"
15/12/2023,"782,53","838,18"
14/12/2023,"778,24","837,91"
13/12/2023,"773,97","832,64"
12/12/2023,"452,94","587,57"
11/12/2023,"382,4","462,4"
7/12/2023,"382,5","400,5"
6/12/2023,"361,31","381,31"
5/12/2023,361,381
4/12/2023,"360,37","380,37"
1/12/2023,"359,18","379,18"
30/11/2023,"358,37","378,37"
29/11/2023,"357,84","377,84"
28/11/2023,"357,55","377,55"
27/11/2023,"356,69","376,69"
24/11/2023,"355,38","375,38"
23/11/2023,"354,51","374,51"
22/11/2023,"354,33","374,33"
21/11/2023,"353,71","373,71"
17/11/2023,"351,55","371,55"
16/11/2023,"350,94","370,94"
15/11/2023,"350,51","370,51"
14/11/2023,"347,93","367,93"
13/11/2023,"347,93","367,93"
10/11/2023,"348,05","368,05"
9/11/2023,"347,93","367,93"
8/11/2023,"348,05","368,05"
7/11/2023,"348,05","368,05"
3/11/2023,"348,05","368,05"
2/11/2023,"348,05","368,05"
1/11/2023,"347,93","367,93"
31/10/2023,"347,94","367,94"
30/10/2023,"347,88","367,88"
27/10/2023,"347,93","367,93"
26/10/2023,"348,1","368,1"
25/10/2023,"347,72","367,72"
24/10/2023,"347,93","367,93"
23/10/2023,"347,91","367,91"
20/10/2023,"348,03","368,03"
19/10/2023,"347,17","367,17"
18/10/2023,"347,59","367,59"
17/10/2023,"347,59","367,59"
12/10/2023,"347,46","367,46"
11/10/2023,347,367
10/10/2023,"347,18","367,18"
9/10/2023,"347,18","367,18"
6/10/2023,"347,02","367,02"
5/10/2023,"347,09","367,09"
4/10/2023,"347,09","367,09"
3/10/2023,347,367
2/10/2023,347,367
29/09/2023,347,367
28/09/2023,347,367
27/09/2023,"346,64","366,64"
26/09/2023,"346,98","366,98"
25/09/2023,"346,98","366,98"
22/09/2023,"347,01","367,01"
21/09/2023,"347,09","367,09"
20/09/2023,347,367
19/09/2023,"346,64","366,64"
18/09/2023,"347,09","367,09"
15/09/2023,347,367
14/09/2023,"347,09","367,09"
13/09/2023,"346,72","366,72"
12/9/2023,"346,73","366,73"
11/9/2023,"347,02","367,02"
8/9/2023,"347,01","367,01"
7/9/2023,347,367
6/9/2023,"347,01","367,01"
5/9/2023,"347,01","367,01"
4/9/2023,"347,01","367,01"
1/9/2023,"347,02","367,02"
31/08/2023,"356,63","366,63"
30/08/2023,"357,09","367,09"
29/08/2023,"356,99","366,99"
28/08/2023,357,367
25/08/2023,357,367
24/08/2023,"357,37","367,37"
23/08/2023,"357,11","367,11"
22/08/2023,"357,03","367,03"
18/08/2023,"356,57","366,57"
17/08/2023,"356,55","366,55"
16/08/2023,"356,89","366,89"
15/08/2023,"356,63","366,63"
14/08/2023,"356,18","366,18"
11/8/2023,"290,01","300,01"
10/8/2023,"288,81","298,81"
9/8/2023,"287,82","297,82"
8/8/2023,"286,52","296,52"
7/8/2023,"285,25","295,25"
4/8/2023,"282,2","292,2"
3/8/2023,"281,33","291,33"
2/8/2023,"280,27","290,27"
1/8/2023,"279,17","289,17"
31/07/2023,"277,92","287,92"
28/07/2023,"276,56","286,56"
27/07/2023,"275,8","285,8"
26/07/2023,"275,2","285,2"
25/07/2023,"274,65","284,65"
24/07/2023,"274,37","284,37"
21/07/2023,"272,54","282,54"
20/07/2023,"271,66","281,66"
19/07/2023,"271,35","281,35"
18/07/2023,"270,59","280,59"
17/07/2023,"270,32","280,32"
14/07/2023,"268,47","278,47"
13/07/2023,"267,77","277,77"
12/7/2023,"266,89","276,89"
11/7/2023,"266,53","276,53"
10/7/2023,"265,81","275,81"
7/7/2023,"264,39","274,39"
6/7/2023,"263,71","273,71"
5/7/2023,"263,32","273,32"
4/7/2023,"262,06","272,06"
3/7/2023,"261,55","271,55"
30/06/2023,"260,16","270,16"
29/06/2023,"259,24","269,24"
28/06/2023,"258,09","268,09"
27/06/2023,"258,09","268,09"
26/06/2023,"257,22","267,22"
23/06/2023,"255,95","265,95"
22/06/2023,"255,31","265,31"
21/06/2023,"254,24","264,24"
16/06/2023,"251,59","261,59"
15/06/2023,"250,92","260,92"
14/06/2023,"249,85","259,85"
13/06/2023,"249,13","259,13"
12/6/2023,"248,52","258,52"
9/6/2023,"247,33","257,33"
8/6/2023,"246,09","256,09"
7/6/2023,"245,36","255,36"
6/6/2023,"244,7","254,7"
5/6/2023,"243,83","253,83"
2/6/2023,"241,99","251,99"
1/6/2023,"241,43","251,43"
31/05/2023,"240,37","250,37"
30/05/2023,"239,79","249,79"
29/05/2023,"238,68","248,68"
24/05/2023,"236,59","246,59"
23/05/2023,"235,53","245,53"
22/05/2023,"235,02","245,02"
19/05/2023,"233,59","243,59"
18/05/2023,"233,02","243,02"
17/05/2023,"232,65","242,65"
16/05/2023,"232,37","242,37"
15/05/2023,"231,39","241,39"
12/5/2023,"231,07","240,07"
11/5/2023,"230,59","239,59"
10/5/2023,"230,59","239,59"
9/5/2023,"229,89","238,89"
8/5/2023,"229,18","238,18"
5/5/2023,"226,98","235,98"
4/5/2023,"224,72","233,72"
3/5/2023,"223,88","232,88"
2/5/2023,"223,09","232,09"
28/04/2023,"220,63","229,63"
27/04/2023,"220,12","229,12"
26/04/2023,"219,43","228,43"
25/04/2023,"218,68","227,68"
24/04/2023,"217,94","226,94"
21/04/2023,"216,58","225,58"
20/04/2023,"216,21","225,21"
19/04/2023,"215,55","224,55"
18/04/2023,"214,73","223,73"
17/04/2023,"214,39","223,39"
14/04/2023,"212,77","221,77"
13/04/2023,"212,62","221,62"
12/4/2023,"212,46","221,46"
11/4/2023,"212,17","221,17"
10/4/2023,"211,73","220,73"
5/4/2023,"209,77","218,77"
4/4/2023,"209,03","218,03"
3/4/2023,"208,44","217,44"
31/03/2023,"207,24","216,24"
30/03/2023,"206,81","215,81"
29/03/2023,"206,5","215,5"
28/03/2023,"206,03","215,03"
27/03/2023,"205,45","214,45"
23/03/2023,"203,97","212,97"
22/03/2023,"203,72","212,72"
21/03/2023,"203,24","212,24"
20/03/2023,"202,85","211,85"
17/03/2023,"201,54","210,54"
16/03/2023,"201,21","210,21"
15/03/2023,"200,62","209,62"
14/03/2023,"200,36","209,36"
13/03/2023,"199,88","208,88"
10/3/2023,"198,96","207,96"
9/3/2023,"198,49","207,49"
8/3/2023,"198,22","207,22"
7/3/2023,"197,9","206,9"
6/3/2023,"197,67","206,67"
3/3/2023,"196,72","205,72"
2/3/2023,"196,37","205,37"
1/3/2023,"195,73","204,73"
28/02/2023,"195,39","204,39"
27/02/2023,"195,12","204,12"
24/02/2023,"193,88","202,88"
23/02/2023,"193,48","202,48"
22/02/2023,"192,73","201,73"
17/02/2023,"191,55","200,55"
16/02/2023,"190,7","199,7"
15/02/2023,"190,47","199,47"
14/02/2023,"190,03","199,03"
13/02/2023,"189,78","198,78"
10/2/2023,"188,6","197,6"
9/2/2023,"188,18","197,18"
8/2/2023,"187,93","196,93"
7/2/2023,"187,74","196,74"
6/2/2023,"187,52","196,52"
3/2/2023,"186,4","195,4"
2/2/2023,"186,14","195,14"
1/2/2023,"185,95","194,95"
31/01/2023,"185,36","194,36"
30/01/2023,"185,07","194,07"
27/01/2023,"184,06","193,06"
26/01/2023,"183,74","192,74"
25/01/2023,"183,26","192,26"
24/01/2023,"183,08","192,08"
23/01/2023,"182,68","191,68"
20/01/2023,"181,65","190,65"
19/01/2023,"181,2","190,2"
18/01/2023,"180,98","189,98"
17/01/2023,"180,74","189,74"
16/01/2023,"180,47","189,47"
13/01/2023,"179,53","188,53"
12/1/2023,"179,26","188,26"
11/1/2023,"179,21","188,21"
10/1/2023,"179,11","188,11"
9/1/2023,"178,72","187,72"
6/1/2023,"177,61","186,61"
5/1/2023,"177,25","186,25"
4/1/2023,"177,22","186,22"
3/1/2023,"176,99","185,99"
2/1/2023,"176,36","185,36"
30/12/2022,"175,64","184,64"
29/12/2022,"174,95","183,95"
28/12/2022,"174,51","183,51"
27/12/2022,"174,12","183,12"
26/12/2022,"173,82","182,82"
23/12/2022,"172,74","181,74"
22/12/2022,"172,36","181,36"
21/12/2022,"172,16","181,16"
20/12/2022,"171,68","180,68"
19/12/2022,"171,64","180,64"
16/12/2022,"170,69","179,69"
15/12/2022,"170,35","179,35"
14/12/2022,"170,22","179,22"
13/12/2022,"170,01","179,01"
12/12/2022,"169,57","178,57"
7/12/2022,"167,81","176,81"
6/12/2022,"167,59","176,59"
5/12/2022,"167,44","176,44"
2/12/2022,"166,24","175,24"
1/12/2022,"165,82","174,82"
30/11/2022,"165,55","174,55"
29/11/2022,"166,15","174,15"
28/11/2022,"165,66","173,66"
25/11/2022,"164,45","172,45"
24/11/2022,"164,24","172,24"
23/11/2022,"163,85","171,85"
22/11/2022,"163,52","171,52"
18/11/2022,"162,22","170,22"
17/11/2022,"161,89","169,89"
16/11/2022,"161,6","169,6"
15/11/2022,"161,18","169,18"
14/11/2022,"160,62","168,62"
11/11/2022,"159,77","167,77"
10/11/2022,"159,5","167,5"
9/11/2022,"159,17","167,17"
8/11/2022,"158,79","166,79"
7/11/2022,"158,33","166,33"
4/11/2022,"157,15","165,15"
3/11/2022,"156,82","164,82"
2/11/2022,"156,49","164,49"
1/11/2022,"156,26","164,26"
31/10/2022,"154,89","163,89"
28/10/2022,"154,59","162,59"
27/10/2022,"154,3","162,3"
26/10/2022,"154,22","162,22"
25/10/2022,"154,1","162,1"
24/10/2022,"153,56","161,56"
21/10/2022,"152,57","160,57"
20/10/2022,"152,27","160,27"
19/10/2022,"151,94","159,94"
18/10/2022,"151,71","159,71"
17/10/2022,"151,49","159,49"
14/10/2022,"150,28","158,28"
13/10/2022,"150,19","158,19"
12/10/2022,"149,96","157,96"
11/10/2022,"149,76","157,76"
6/10/2022,"148,29","156,29"
5/10/2022,"147,9","155,9"
4/10/2022,"147,67","155,67"
3/10/2022,"147,33","155,33"
30/09/2022,"146,25","154,25"
29/09/2022,"145,9","153,9"
28/09/2022,"145,61","153,61"
27/09/2022,"145,31","153,31"
26/09/2022,"145,01","153,01"
23/09/2022,"144,24","152,24"
22/09/2022,"143,64","151,64"
21/09/2022,"143,56","151,56"
20/09/2022,"143,24","151,24"
19/09/2022,"142,93","150,93"
16/09/2022,"142,17","150,17"
15/09/2022,"143,99","149,99"
14/09/2022,"143,61","149,61"
13/09/2022,"143,52","149,52"
12/9/2022,"143,43","149,43"
9/9/2022,"142,42","148,42"
8/9/2022,"142,15","148,15"
7/9/2022,"141,68","147,68"
6/9/2022,"141,35","147,35"
5/9/2022,"141,05","147,05"
1/9/2022,"139,86","145,86"
31/08/2022,"139,77","145,77"
30/08/2022,"139,62","145,62"
29/08/2022,"139,45","145,45"
26/08/2022,"138,73","144,73"
25/08/2022,"138,58","144,58"
24/08/2022,"138,29","144,29"
23/08/2022,"138,04","144,04"
22/08/2022,"138,04","144,04"
19/08/2022,"137,06","143,06"
18/08/2022,"136,39","142,39"
17/08/2022,"136,52","142,52"
16/08/2022,"136,41","142,41"
12/8/2022,"135,5","141,5"
11/8/2022,"134,98","140,98"
10/8/2022,"134,77","140,77"
9/8/2022,"134,77","140,77"
8/8/2022,"134,49","140,49"
5/8/2022,"133,89","139,89"
4/8/2022,"133,86","139,86"
3/8/2022,"133,31","139,31"
2/8/2022,"133,07","139,07"
1/8/2022,"132,9","138,9"
