"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.01.2024","821,9311","821,4424","822,0143","821,2501","","0,06%"
"22.01.2024","821,4000","821,4500","821,4650","821,4250","","0,21%"
"19.01.2024","819,7000","819,5000","819,7700","819,4800","","0,06%"
"18.01.2024","819,2000","818,9500","819,2500","818,9500","","0,07%"
"17.01.2024","818,6000","818,7000","818,7200","818,6300","","0,06%"
"16.01.2024","818,1000","818,2000","818,3000","818,1500","","0,06%"
"15.01.2024","817,6000","816,9000","817,7000","816,9000","","0,20%"
"12.01.2024","816,0000","816,0500","816,0700","815,4500","","0,07%"
"11.01.2024","815,4000","815,5000","815,5200","815,4300","","0,06%"
"10.01.2024","814,9000","814,9500","814,9700","813,8500","","0,07%"
"09.01.2024","814,3000","814,3500","814,3700","813,8500","","0,06%"
"08.01.2024","813,8400","813,0500","813,9200","813,0300","","0,20%"
"05.01.2024","812,2000","812,2500","812,2500","811,7550","","0,06%"
"04.01.2024","811,7000","811,7500","811,8000","810,6450","","0,13%"
"03.01.2024","810,6400","811,1500","811,1500","810,6450","","0,00%"
"02.01.2024","810,6000","810,6500","810,7500","810,6250","","-0,03%"
"01.01.2024","810,8813","810,8189","810,9401","808,1209","","0,30%"
"29.12.2023","808,4500","807,9850","808,5000","807,9650","","0,06%"
"28.12.2023","807,9500","807,9750","807,9750","807,4250","","0,07%"
"27.12.2023","807,4000","807,1750","807,4600","807,1400","","0,07%"
"26.12.2023","806,8500","805,9000","807,0000","805,8250","","0,36%"
"25.12.2023","803,9784","805,2826","806,5640","799,1196","","-0,10%"
