Fecha,Compra_bl,Venta_bl,Compra_of,Venta_of
22/01/2024,1185,1235,"808,08","868,8"
19/01/2024,1170,1220,"808,08","868,8"
18/01/2024,1190,1240,"807,2","866,51"
17/01/2024,1175,1225,"806,96","866,2"
16/01/2024,1130,1180,"805,38","864,65"
15/01/2024,1080,1130,"804,36","863,62"
29/12/2023,975,1025,"790,44","847,11"
28/12/2023,950,1000,"788,59","844,66"
27/12/2023,950,1000,"787,55","843,51"
26/12/2023,945,995,"787,24","843,55"
22/12/2023,945,995,"785,63","843,78"
21/12/2023,940,990,"786,4","842,68"
20/12/2023,945,995,"785,18","841,46"
19/12/2023,945,995,785,"841,28"
18/12/2023,935,985,"784,84","840,23"
15/12/2023,920,970,"782,53","838,18"
14/12/2023,940,990,"778,24","837,91"
13/12/2023,1020,1070,"773,97","832,64"
12/12/2023,1020,1070,"452,94","587,57"
11/12/2023,950,1000,"382,4","462,4"
30/11/2023,855,905,"358,37","378,37"
29/11/2023,875,925,"357,84","377,84"
28/11/2023,895,945,"357,55","377,55"
27/11/2023,940,990,"356,69","376,69"
24/11/2023,945,995,"355,38","375,38"
23/11/2023,995,1045,"354,51","374,51"
22/11/2023,1030,1080,"354,33","374,33"
21/11/2023,1025,1075,"353,71","373,71"
17/11/2023,900,950,"351,55","371,55"
16/11/2023,900,950,"350,94","370,94"
15/11/2023,920,970,"350,51","370,51"
14/11/2023,875,925,"347,93","367,93"
13/11/2023,875,925,"347,93","367,93"
10/11/2023,910,960,"348,05","368,05"
31/10/2023,870,920,"347,94","367,94"
30/10/2023,920,970,"347,88","367,88"
27/10/2023,940,990,"347,93","367,93"
26/10/2023,930,980,"348,1","368,1"
25/10/2023,950,1000,"347,72","367,72"
24/10/2023,1050,1100,"347,93","367,93"
23/10/2023,1050,1100,"347,91","367,91"
20/10/2023,880,900,"348,03","368,03"
19/10/2023,880,900,"347,17","367,17"
18/10/2023,885,905,"347,59","367,59"
17/10/2023,965,985,"347,59","367,59"
12/10/2023,960,980,"347,46","367,46"
11/10/2023,990,1010,347,367
10/10/2023,990,1010,"347,18","367,18"
29/09/2023,790,800,347,367
28/09/2023,780,790,347,367
27/09/2023,763,773,"346,64","366,64"
26/09/2023,748,758,"346,98","366,98"
25/09/2023,735,745,"346,98","366,98"
